"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\adduser.js", "JavaScript", 0, 72, 0, 0, 0, 0, 3, 7, 82
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\catalog.js", "JavaScript", 0, 229, 0, 0, 0, 0, 6, 8, 243
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\listusers.js", "JavaScript", 0, 61, 0, 0, 0, 0, 27, 6, 94
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\login-attempt.js", "JavaScript", 0, 65, 0, 0, 0, 0, 19, 16, 100
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\orders.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 8, 122
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\organizations.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 5, 84
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\points.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 4, 120
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\reporting.js", "JavaScript", 0, 72, 0, 0, 0, 0, 80, 43, 195
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\reports_testing.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\resetemail-attempt.js", "JavaScript", 0, 50, 0, 0, 0, 0, 4, 19, 73
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\resetpass-attempt.js", "JavaScript", 0, 63, 0, 0, 0, 0, 9, 10, 82
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\signup-attempt.js", "JavaScript", 0, 65, 0, 0, 0, 0, 6, 11, 82
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\updateaccount.js", "JavaScript", 0, 73, 0, 0, 0, 0, 16, 4, 93
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\endpoints\usertype.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 1, 101
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\index.js", "JavaScript", 0, 64, 0, 0, 0, 0, 8, 12, 84
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\logs\logging.js", "JavaScript", 0, 20, 0, 0, 0, 0, 3, 8, 31
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\logs\logging.test.js", "JavaScript", 0, 28, 0, 0, 0, 0, 2, 18, 48
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\package-lock.json", "JSON", 14489, 0, 0, 0, 0, 0, 0, 1, 14490
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\services\encryption.js", "JavaScript", 0, 16, 0, 0, 0, 0, 8, 12, 36
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\services\encryption.test.js", "JavaScript", 0, 16, 0, 0, 0, 0, 11, 19, 46
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\Node-Server\services\reporting.js", "JavaScript", 0, 3, 0, 0, 0, 0, 46, 35, 84
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 7, 14
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\package-lock.json", "JSON", 28481, 0, 0, 0, 0, 0, 0, 1, 28482
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\package.json", "JSON", 62, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\App.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AddItem.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 9, 60
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AddItem.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 9, 94
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminAddUser.css", "CSS", 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminAddUser.js", "JavaScript", 0, 104, 0, 0, 0, 0, 2, 10, 116
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminFooter.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminFooter.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminHeader.css", "CSS", 0, 0, 0, 66, 0, 0, 0, 9, 75
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminHeader.js", "JavaScript", 0, 63, 0, 0, 0, 0, 4, 9, 76
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminUpdateAccount.css", "CSS", 0, 0, 0, 90, 0, 0, 0, 11, 101
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminUpdateAccount.js", "JavaScript", 0, 96, 0, 0, 0, 0, 12, 10, 118
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminUpdateOrgs.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AdminUpdateOrgs.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 13, 142
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AuditLogResults.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\AuditLogResults.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 11, 26
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\CatalogItem.css", "CSS", 0, 0, 0, 75, 0, 0, 0, 13, 88
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\CatalogItem.js", "JavaScript", 0, 103, 0, 0, 0, 0, 3, 10, 116
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\DateRangeFilter.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\DriverFooter.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\DriverFooter.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\DriverHeader.css", "CSS", 0, 0, 0, 66, 0, 0, 0, 12, 78
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\DriverHeader.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 7, 75
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ExportButton.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ExportButton.js", "JavaScript", 0, 45, 0, 0, 0, 0, 2, 19, 66
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\Layout.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\Layout.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ReportingWindow.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ReportingWindow.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 7, 48
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ReportsFilter.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ReportsFilter.js", "JavaScript", 0, 77, 0, 0, 0, 0, 2, 25, 104
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ReportsTitle.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ReportsTitle.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ShoppingCart.css", "CSS", 0, 0, 0, 52, 0, 0, 0, 9, 61
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\ShoppingCart.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 10, 130
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\SponsorFooter.css", "CSS", 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\SponsorFooter.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\SponsorHeader.css", "CSS", 0, 0, 0, 66, 0, 0, 0, 9, 75
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\components\SponsorHeader.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 7, 79
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\AdminHome.css", "CSS", 0, 0, 0, 71, 0, 0, 0, 7, 78
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\AdminHome.js", "JavaScript", 0, 151, 0, 0, 0, 0, 7, 16, 174
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\AdminReporting.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\AdminReporting.js", "JavaScript", 0, 37, 0, 0, 0, 0, 26, 15, 78
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\AuditLogReports.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\AuditLogReports.js", "JavaScript", 0, 188, 0, 0, 0, 0, 36, 33, 257
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\CatalogPurchase.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\CatalogPurchase.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\DiscoverUN.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\DriverCatalog.css", "CSS", 0, 0, 0, 52, 0, 0, 0, 8, 60
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\DriverCatalog.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 11, 155
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\DriverHome.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\DriverHome.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 13, 90
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\Home.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 10, 71
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\Home.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\Login.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 2, 37
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\Login.js", "JavaScript", 0, 98, 0, 0, 0, 0, 12, 17, 127
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\NotFound.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\PointAssignment.css", "CSS", 0, 0, 0, 65, 0, 0, 1, 9, 75
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\PointAssignment.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 15, 168
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\PointHistory.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\PointHistory.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 12, 93
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\PurchaseHistory.css", "CSS", 0, 0, 0, 50, 0, 0, 6, 9, 65
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\PurchaseHistory.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 13, 177
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\ResetPass.js", "JavaScript", 0, 164, 0, 0, 0, 0, 9, 34, 207
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\Signup.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\Signup.js", "JavaScript", 0, 189, 0, 0, 0, 0, 11, 28, 228
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\SponsorApplications.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\SponsorCatalog.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 5, 38
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\SponsorCatalog.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 13, 136
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\SponsorHome.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 5, 56
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\SponsorHome.js", "JavaScript", 0, 119, 0, 0, 0, 0, 5, 16, 140
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\SponsorPurchasing.js", "JavaScript", 0, 152, 0, 0, 0, 0, 2, 12, 166
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\UpdateAccount.css", "CSS", 0, 0, 0, 30, 0, 0, 5, 5, 40
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\UpdateAccount.js", "JavaScript", 0, 135, 0, 0, 0, 0, 16, 11, 162
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\UpdateOrg.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\pages\UpdateOrg.js", "JavaScript", 0, 124, 0, 0, 0, 0, 16, 11, 151
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\joeyd\Desktop\School\4910\S22-Team04-goodwin.binz.canouse.lasher.narula.wise\Javascript-Code\react-client\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 43096, 4744, 45, 1194, 20, 1, 455, 940, 50495